date,open,high,low,close,volume,open_interest
2023-12-15,774.5,779.9,763.05,765.25,352696,0
2023-12-18,768.9,789.45,757.15,781.25,965918,0
2023-12-19,789.95,799.6,778.25,781.95,846627,0
2023-12-20,784.0,786.5,737.8,743.8,935363,0
2023-12-21,731.55,765.25,728.5,762.45,661832,0
2023-12-22,765.05,770.9,756.55,760.85,329761,0
2023-12-26,764.0,788.0,763.0,769.5,733036,0
2023-12-27,775.05,820.4,769.0,811.8,2543721,0
2023-12-28,816.5,824.0,805.0,820.45,1681465,0
2023-12-29,820.9,831.0,809.8,816.0,1034777,0
2024-01-01,819.65,827.6,816.65,825.05,527034,0
2024-01-02,828.95,833.8,807.4,815.5,579382,0
2024-01-03,815.5,819.9,807.05,811.25,306106,0
2024-01-04,812.0,826.95,811.55,816.8,401353,0
2024-01-05,821.65,843.0,818.1,834.95,1134799,0
2024-01-08,840.0,840.0,821.0,826.85,388195,0
2024-01-09,830.75,836.3,810.5,814.7,323406,0
2024-01-10,818.75,821.6,807.3,813.25,332578,0
2024-01-11,815.0,822.25,791.25,797.0,575890,0
2024-01-12,799.0,806.85,798.0,802.45,793857,0
2024-01-15,813.0,823.75,810.0,815.3,686050,0
2024-01-16,818.55,824.8,797.25,804.1,592624,0
2024-01-17,802.95,809.4,793.0,796.95,499342,0
2024-01-18,796.95,818.1,771.65,811.3,727521,0
2024-01-19,818.1,820.5,805.25,817.0,429122,0
2024-01-20,819.5,819.75,805.2,808.15,218621,0
2024-01-23,818.45,818.45,787.5,790.05,460112,0
2024-01-24,790.05,804.9,777.85,799.7,396236,0
2024-01-25,804.7,816.0,802.05,813.1,532634,0
2024-01-29,814.7,841.5,813.95,837.95,841301,0
2024-01-30,840.0,848.0,829.8,838.2,583008,0
2024-01-31,842.0,900.0,840.25,889.05,3053110,0
2024-02-01,900.0,900.0,875.05,880.3,843309,0
2024-02-02,885.1,903.55,876.3,895.3,785482,0
2024-02-05,903.9,915.55,886.05,890.8,635018,0
2024-02-06,891.0,915.0,884.95,887.35,551855,0
2024-02-07,893.0,900.65,882.0,885.45,298380,0
2024-02-08,892.75,895.65,874.0,878.3,325559,0
2024-02-09,880.0,884.75,855.1,870.7,354094,0
2024-02-12,870.7,874.45,843.0,845.45,348963,0
2024-02-13,845.9,852.25,810.1,844.85,439927,0
2024-02-14,833.05,865.0,829.85,859.5,340948,0
2024-02-15,863.9,872.95,858.5,864.4,231871,0
2024-02-16,866.05,878.9,860.0,862.65,196281,0
2024-02-19,865.85,869.75,853.2,855.3,194188,0
2024-02-20,855.3,868.0,849.0,852.05,333936,0
2024-02-21,859.95,887.25,838.05,842.55,751374,0
2024-02-22,846.0,850.0,828.7,834.35,268289,0
2024-02-23,841.05,860.0,834.95,855.1,456940,0
2024-02-26,857.0,858.6,837.6,841.65,249568,0
2024-02-27,843.1,850.0,830.0,834.35,579709,0
2024-02-28,835.0,843.9,828.05,834.1,298031,0
2024-02-29,833.5,843.0,817.1,838.95,428101,0
2024-03-01,842.95,848.95,840.5,846.3,205415,0
2024-03-02,847.0,850.0,834.5,848.75,30741,0
2024-03-04,851.65,857.8,842.35,847.95,355798,0
2024-03-05,847.95,859.85,845.0,850.35,447937,0
2024-03-06,854.8,857.35,840.05,847.7,381842,0
2024-03-07,845.05,885.0,845.05,869.35,771532,0
2024-03-11,872.0,895.15,864.0,881.7,1034457,0
2024-03-12,881.95,889.8,838.0,841.1,704960,0
2024-03-13,841.1,850.55,764.0,783.15,1498948,0
2024-03-14,783.15,814.1,772.25,798.9,787643,0
